SKU,Product,Supplier,Supplier SKU,Supplier Product Name,Latest Price,Fixed Price
Assembly 30,Construction Assembles for 30 Units 12PPTF 13PPSF 15PR20 21PFL 23PMWI 25WPC 28PWS2,Waterford Trading Australia Pty Ltd trading as aquaBUBBLER,PBA-12PPTF,Push Palm Top Fountain Production BOM Assembly,0.00,78.91
Austworld - 3577 Anaerobic Thread Sealant,WM: 8270 Certified Thread Sealant 250ml,Austworld Commodities Pty Ltd,3577.00,,0.01,0.01
Austworld - ABS14 Drain,Drain grate for ABS14,Austworld Commodities Pty Ltd,Austworld - ABWBS14 Drain,,0.00,0.00
Austworld - AW1190,AS 3688 Tee Double Union CN2335 - 15Cx15Cx15FI with plastic compression fitting,Austworld Commodities Pty Ltd,Austworld - AW1190,,0.01,0.01
Austworld - AW2190 Tee Double Union 15mm,WM: AS 3688 Certified Tee Double Union 15mm,Austworld Commodities Pty Ltd,AW2190,,0.00,0.01
Austworld - AW246,WM: AS 3688 Tee Double Union 15FI x 15C x 15C,Austworld Commodities Pty Ltd,AW246,,0.01,0.01
Austworld - AW569 Male x female Compact 15mm,WM: AS 3688 Certified Male x female Compact 15mm for ABWB/AU,Austworld Commodities Pty Ltd,AW565,,0.00,0.01
Ausworld- Lock Nut BR 25mm AW5002,1 Lock Nut 1 Brass,Austworld Commodities Pty Ltd,,,0.01,0.01
AW1180,AS 3688 Male Triple Union COC2503 - 15CX 15C X 15C with plastic compression fitting AB||08,aquabubbler,,,,0.00
AW1180,AS 3688 Male Triple Union COC2503 - 15CX 15C X 15C with plastic compression fitting AB||08,Austworld Commodities Pty Ltd,AW1180,,2.25,2.45
AW332,WM: AS 3688 Screwed Bush Red BR 15MM X 10MM AB||08,Austworld Commodities Pty Ltd,AW332,,0.52,0.52
AW4001,AS 3688 Adaptor MI X FI Extended 15mm AB||08,Austworld Commodities Pty Ltd,AW4001,,2.09,2.09
AW517,WM: AS 3688 Certified 15mm Hexagon Socket AB||08,Austworld Commodities Pty Ltd,AW517,,0.99,0.93
AW711,WM: AS 3688 Hexagon Plug AB||08,aquabubbler,,,0.71,0.71
AW711,WM: AS 3688 Hexagon Plug AB||08,Austworld Commodities Pty Ltd,Austworld - AW711,,0.72,0.71
